Institute,Program,Quota,Seat Type,Gender,OR,CR
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,2930.0,3883.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,21020.0,27255.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,937.0,937.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4299.0,4659.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,10425.0,11845.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,SC,Gender-Neutral,6535.0,7380.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, B.Tech)",AI,ST,Gender-Neutral,3954.0,4547.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,19413.0,27059.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),25078.0,25851.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,913.0,913.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4569.0,4870.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,8007.0,10959.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),10269.0,10269.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,3435.0,5737.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,2684.0,3255.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,29711.0,37252.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),31015.0,34570.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5958.0,6474.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,10831.0,14993.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,7163.0,9008.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),8070.0,8070.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3199.0,4510.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,27144.0,30983.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),30776.0,30844.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1537.0,1537.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5004.0,5217.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,11230.0,13015.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),13896.0,13896.0
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, B.Tech)",AI,SC,Gender-Neutral,5750.0,7192.0
