Institute,Program,Quota,Seat Type,Gender,OR,CR
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,629.0,1922.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4618.0,5038.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,8650.0,12954.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,1074.0,1382.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,4009.0,8043.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,3181.0,4306.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,25414.0,31601.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,2644.0,2644.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5041.0,5264.0
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,12987.0,14380.0
